country,metric,unit,date,value,year_month,metric_std
건지,수출금액,천불,2025-05-01,4,2025-05,export_value
건지,수입금액,천불,2025-05-01,0,2025-05,import_value
건지,무역수지,천불,2025-05-01,4,2025-05,trade_balance
건지,수출금액,천불,2025-06-01,1,2025-06,export_value
건지,수입금액,천불,2025-06-01,2,2025-06,import_value
건지,무역수지,천불,2025-06-01,-1,2025-06,trade_balance
건지,수출금액,천불,2025-07-01,1,2025-07,export_value
건지,수입금액,천불,2025-07-01,0,2025-07,import_value
건지,무역수지,천불,2025-07-01,1,2025-07,trade_balance
건지,수출금액,천불,2025-08-01,1,2025-08,export_value
건지,수입금액,천불,2025-08-01,0,2025-08,import_value
건지,무역수지,천불,2025-08-01,1,2025-08,trade_balance
건지,수출금액,천불,2025-09-01,3,2025-09,export_value
건지,수입금액,천불,2025-09-01,0,2025-09,import_value
건지,무역수지,천불,2025-09-01,3,2025-09,trade_balance
건지,수출금액,천불,2025-10-01,1,2025-10,export_value
건지,수입금액,천불,2025-10-01,42,2025-10,import_value
건지,무역수지,천불,2025-10-01,-41,2025-10,trade_balance
건지,수출금액,천불,2025-11-01,7,2025-11,export_value
건지,수입금액,천불,2025-11-01,0,2025-11,import_value
건지,무역수지,천불,2025-11-01,7,2025-11,trade_balance
건지,수출금액,천불,2025-12-01,5,2025-12,export_value
건지,수입금액,천불,2025-12-01,6,2025-12,import_value
건지,무역수지,천불,2025-12-01,-1,2025-12,trade_balance
건지,수출금액,천불,2026-01-01,1,2026-01,export_value
건지,수입금액,천불,2026-01-01,0,2026-01,import_value
