"국가별","항목","단위","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","2024.12 월","2025.01 월","2025.02 월","2025.03 월","2025.04 월","2025.05 월","2025.06 월","2025.07 월","2025.08 월","2025.09 월","2025.10 월","2025.11 월","2025.12 월","2026.01 월","2026.02 월","2026.03 월","2026.04 월","2026.05 월","2026.06 월","2026.07 월",
"이란","무역수지[천불]","천불","12812","11992","10379","8681","16503","13625","13465","10134","12192","12845","11279","14841","8605","11837","26475","8196","13587","5222","10174","9779","11169","13250","8598","20257","5975","7390","872","943","4211","4499","8150",
"폴란드","수출금액[천불]","천불","756011","495449","555555","712807","608223","771475","968540","837686","1084324","744203","572575","803442","765206","725083","877946","957555","654533","933260","660892","487198","1424460","530231","435894","552464","595462","607790","778578","796088","672197","1107801","985560",
"폴란드","수입금액[천불]","천불","78811","80697","84908","111964","75905","97254","103104","90678","96161","77027","64471","108137","80693","67333","68737","73622","82451","97083","100578","85098","95366","89226","104245","116771","86220","93725","114468","114240","115798","121386","108542",
"폴란드","무역수지[천불]","천불","677200","414752","470647","600842","532318","674222","865435","747008","988163","667176","508104","695305","684513","657750","809209","883933","572082","836177","560314","402100","1329094","441005","331650","435693","509242","514065","664110","681847","556399","986415","877019",
"프랑스","수출금액[천불]","천불","271950","334998","503339","503822","330628","434033","267948","797291","521705","306748","736866","515079","476678","291311","478729","448114","500967","595846","564242","977528","529072","473724","732785","281780","483671","225345","317695","778069","276648","340763","564235",
"프랑스","수입금액[천불]","천불","588469","544239","613462","640793","615882","733389","646512","808423","533888","649011","624989","1148633","482945","818432","665193","733258","604025","736976","831277","621858","758347","777615","813805","799727","825937","618900","1131634","787597","611250","773935","627186",
"프랑스","무역수지[천불]","천불","-316518","-209241","-110123","-136970","-285254","-299356","-378563","-11133","-12183","-342264","111878","-633554","-6266","-527121","-186464","-285144","-103058","-141130","-267035","355670","-229275","-303891","-81020","-517947","-342266","-393556","-813939","-9527","-334602","-433172","-62951",
"라이베리아","수출금액[천불]","천불","396023","302020","460375","366374","332412","629601","222997","375598","373692","255022","755268","745666","457793","245798","632845","187460","392060","596392","786930","425958","421925","399249","108197","399658","418656","259492","501275","331095","338097","278818","421060",
"라이베리아","수입금액[천불]","천불","167","40","25244","21824","164","158","12","564","508","100","11","126","10","607","189","13","8","8","18","7","224","8","85234","13","87","389","9607","3","3","15","10253",
"라이베리아","무역수지[천불]","천불","395856","301980","435131","344550","332248","629443","222985","375034","373183","254922","755257","745540","457783","245191","632656","187446","392051","596384","786912","425950","421701","399241","22963","399645","418569","259103","491668","331092","338094","278803","410807",
"파나마","수출금액[천불]","천불","12954","177339","447730","102637","151222","17192","54748","123447","20866","92455","228085","28651","77924","93074","126640","88989","194375","272342","120873","63727","184987","209902","70369","69120","168989","164137","184291","29320","71148","103569","124153",
"파나마","수입금액[천불]","천불","12544","3753","2739","2094","1836","1592","16030","19592","50964","3275","2700","29961","2906","2298","2112","83947","1611","2379","2396","62278","24853","1832","2224","2047","2016","81679","16199","2469","2516","3843","9305",
"파나마","무역수지[천불]","천불","410","173587","444991","100544","149386","15600","38717","103855","-30098","89180","225385","-1309","75018","90775","124529","5042","192764","269963","118477","1449","160134","208070","68145","67073","166972","82459","168092","26850","68632","99726","114848",
